"url, title, page_address, status, meter, total, finish_date"
"生の舞台『ふわふわともこもこ』を多くの子どもたちに観せたい！,/projects/fuwamoko,プロジェクトが成立しました！,115%,185000,1月23日"
"島根県隠岐島の海士町中央図書館にみんなで本を贈ろう！,/projects/ama-library,プロジェクトが成立しました！,124%,1245000,1月23日"
"子どもたちに夢を！おしごと体験フェスティバルを開催したい！,/projects/kidsjobfes,プロジェクトが成立しました！,101%,304000,1月21日"
"今までにない「避難生活」をテーマに被災地から学ぶ場を作りたい,/projects/_ccj,プロジェクトが成立しました！,128%,3083000,1月20日"
"【ラストスパート】塾に通えない中3生を志望校に合格させたい！,/projects/tadazemi,プロジェクトが成立しました！,110%,166000,1月19日"
"働きたい精神障がい者が多くの人や企業と交流できるサイトを作る,/projects/npolog,プロジェクトが成立しました！,110%,1101000,1月17日"
"安全な水のないエチオピアの村に住む人々へ給水設備を届けたい！,/projects/wateraid,プロジェクトが成立しました！,102%,612000,1月17日"
"デモクラシー･ナウ!を 日本から生放送させよう,/projects/WelcomeAmy,プロジェクトが成立しました！,146%,439000,1月15日"
"保護された猫が新しい家族と出会えるカフェを作りたい！,/projects/happynekochan,プロジェクトが成立しました！,111%,3339000,1月14日"
"戦後６８年。今しか聞けない戦争体験者のメッセージ記録,/projects/bridgeforpeace_report,プロジェクトが成立しました！,117%,294000,1月13日"
"福島県浪江町で愛されてきた、大堀相馬焼を使った復興支援イベントを開催したい！,/projects/soma-yaki2014,プロジェクトが成立しました！,105%,1372000,1月13日"
"石巻のカーシェアリングを応援しよう！第3弾（網地島編）,/projects/carsharing3,プロジェクトが成立しました！,100%,150000,1月12日"
"子ども・保護者・スタッフの10年が詰まった本を出版したい！,/projects/kodomonomori,プロジェクトが成立しました！,165%,660000,1月8日"
"『生きる力』をはぐくむ学校・園を取材し、多くの人に伝えたい！,/projects/ikihug,プロジェクトが成立しました！,117%,1756000,1月7日"
"伝記漫画本を出版！郷土の偉人伝シリーズ１【中甚兵衛物語】,/projects/NAKA_JIMBEI,プロジェクトが成立しました！,108%,1730000,1月6日"
"被災地東北の就職をハナマルに！東北地方の学生・若者の就職支援,/projects/hanamaru,プロジェクトが成立しました！,103%,310000,1月5日"
"僕の夢への大きな一歩、米国ファンドレイジング大会へ参加したい,/projects/yumehenoippo,プロジェクトが成立しました！,123%,308000,12月30日"
"理由があって音楽を続けられない子どもたちに、音楽教育を提供する！,/projects/socialmusic,プロジェクトが成立しました！,104%,344000,12月28日"
"本州を走って横断して道中記を作る!,/projects/honshu-odan,プロジェクトが成立しました！,128%,386000,12月26日"
