"title, page_address, curated_page, category, owner, rest, patron, meter, total"
"東日本大震災を風化させない！世界的絵本作家が描き下ろす震災体験絵本化プロジェクト,http://greenfunding.jp/projectroom/projects/622,bayfm78,出版,bayfm事業開発部,終了,139,507,2028182"
"外国人観光客へ日本の魅力を伝えるための、ボランティアガイドや異文化交流会を開きたい！,http://greenfunding.jp/lab/projects/617,GREEN FUNDING Lab,社会貢献,OESアカデミー"
"ユキヒーロープロレスと、本物のヒーローのコスチュームを作ろう！,http://greenfunding.jp/tdc/projects/632,伊勢丹×装苑,ファッション,IPn"
"ファッションブランド・アーチェロの、五感で感じる展示会「ホーリー祭」を開催したい！,http://greenfunding.jp/tdc/projects/631,伊勢丹×装苑,ファッション,IPn,終了,83,192,574500"
"FISワールドカップ参戦！,http://greenfunding.jp/allez-japan/projects/624,ALLEZ! japan,スポーツ,吉川空"
"格之進・牛1頭解体ショー第一弾！「肩ロース」編を開催したい！,http://greenfunding.jp/tokyo-calendar/projects/619,東京カレンダー,フード,格之進,終了,34,101,304000"
"しまむらファーム応援企画！とうもろこしプリンを作りたい！,http://greenfunding.jp/projectroom/projects/616,bayfm78,フード,bayfm事業開発部,終了,94,439,438800"
"［Save the Beach主催］全国のビーチを守ろう！地域を盛り上げる環境支援イベントin仙台,https://cf.sportie.jp/sportie/projects/618,Sports IT Solution,イベント,＠BEACH事務局"
"グリーンリングリン〜5人の花嫁たちのつながるドレス展〜,http://greenfunding.jp/greengirl/projects/614,GREEN GIRL,ファッション,Atelier neuTur,終了,23,124,247500"
"函館を舞台にした映画を世界へ！「そこのみにて光輝く」の公開応援プロジェクト,http://greenfunding.jp/lab/projects/589,GREEN FUNDING Lab,映像・映画,前田紘孝,終了,147,158,4730000"
"ストリートボード世界大会に参戦！,http://greenfunding.jp/allez-japan/projects/613,ALLEZ! japan,スポーツ,宇田川修人,終了,17,124,86500"
"世界初！「100台ベビーカーダンス」を代々木体育館で開催したい！,https://cf.sportie.jp/sportie/projects/605,Sports IT Solution,スポーツ,ママ☆ベイビーダンス,終了,69,109,326000"
"SOUR新曲『Life is Music』ミュージックビデオ制作プロジェクト,http://greenfunding.jp/lab/projects/609,GREEN FUNDING Lab,音楽,川村真司,終了,144,180,900500"
"ツイードをドレスコードにした自転車イベント『Tweed Run TOKYO』,http://greenfunding.jp/timeouttokyo/projects/606,タイムアウト東京,スポーツ,Tweed  Run TOKYO 2013実行委員会"
"「もりシネマ」森の中で特別な映画体験を。,http://greenfunding.jp/lab/projects/608,GREEN FUNDING Lab,映像・映画,もりシネマ実行委員会 by recorema"
"映画『一献の系譜 -能登杜氏のいとなみ-』製作プロジェクト。「呑みトモ」を増やしたい！,http://greenfunding.jp/lab/projects/596,GREEN FUNDING Lab,映像・映画,石井かほり Kaori ISHII,終了,243,114,3415000"
"スカーフが結ぶ、アートとファッション「ditto」,http://greenfunding.jp/timeouttokyo/projects/558,タイムアウト東京,ファッション,ditto 佐々木奈美,終了,14,110,219500"
"これからのそなえ“防災”をもっと身近に！「防災ガール」がわかりやすく発信！,http://greenfunding.jp/greengirl/projects/576,GREEN GIRL,社会貢献,田中美咲,終了,33,106,261000"
"[ベガルタ仙台]東日本大震災被災地の方々1000人を、仙台で開催される試合に招待したい！,http://greenfunding.jp/lab/projects/564,GREEN FUNDING Lab,スポーツ,ベガルタ仙台,終了,496,148,7385000"
"元フェアリージャパン平田美沙紀『情熱のパフォーマンス』を、Fリーグでやりたい！,https://cf.sportie.jp/sportie/projects/583,Sports IT Solution,スポーツ,平田美沙紀,終了,39,112,335000"
"地方カート選手権最終戦で勝つ！,http://greenfunding.jp/allez-japan/projects/601,ALLEZ! japan,スポーツ,荒川 麟"
"全日本カート選手権（FS125東地域第5戦）参戦！,http://greenfunding.jp/allez-japan/projects/600,ALLEZ! japan,スポーツ,湯澤颯"
"日本代表決定！世界選手権 (ブルガリア)に挑戦！,http://greenfunding.jp/allez-japan/projects/599,ALLEZ! japan,スポーツ,又吉健斗"
"日本代表決定！世界選手権 (ブルガリア)に挑戦！,http://greenfunding.jp/allez-japan/projects/598,ALLEZ! japan,スポーツ,古堅 舞,終了,21,112,112000"
"第2回「風街ルルド」で、解体された下北沢の駅前市場を再現したい！,http://greenfunding.jp/lab/projects/565,GREEN FUNDING Lab,音楽,風街ルルドの会"
"ウインブルドン(Jr)ベスト32の実力！次はUSオープン！,http://greenfunding.jp/allez-japan/projects/586,ALLEZ! japan,スポーツ,岡村恭香,終了,32,109,218000"
"美しいランジェリーの魅力を伝えたい！200年前のレースで作られたランジェリー展示イベント「Lingerie Night」,http://greenfunding.jp/greengirl/projects/373,GREEN GIRL,ファッション,たけすえあさこ,終了,27,111,166500"
"PONOプロジェクト―看護の力と自然の力で心と体のストレスケア！自然と触れ合う旅を通して、ありのままの自分を見つめ直そう...,http://greenfunding.jp/changemaker/projects/588,社会起業大学,社会貢献,PONOプロジェクト,終了,41,113,396500"
