"title, page_address, owner, category, status, patron, total, rest"
"THE SIX ELEMENTS STORY,/projects/THESIXELEMENTSSTORY,水望月 飛翔,本,FUNDED!,8,69000,終了14年03月01日"
"皆で人気キャラクターを作るプロジェクト！「ゆひゆひ王国」でロマンを共有☆,/projects/yuhiyuhi,ゆひゆひ王国,プロダクト,FUNDED!,5,50000,終了14年04月08日"
"世界的舞踊家 勅使川原三郎の「今はまだほぼ何もない空間」を、「かつてない独創的なアー...,/projects/apparatus,田中 博積,演劇・ダンス,FUNDED!,25,256500,終了13年12月07日"
"RAINBOW JAPAN3〜日本列島に未来へ号でメッセージを描くプロジェクト〜Ph...,/projects/rainbowjapan3_2,遠藤 一郎,アート,FUNDED!,5,70000,終了14年01月30日"
"福島の今をインドに伝えるツアー　 アートがひらく・アートがつなぐ・子どものこころ,/projects/bornfreeart,ボーンフリーア...,アート,FUNDED!,18,500000,終了14年01月12日"
"「音楽劇ウレシパモシリ」を石巻渡波で上演～みんな繋がっている～,/projects/ureshipamoshiri,よしつぐ,演劇・ダンス,FUNDED!,21,202000,終了13年11月12日"
"＜茨城県発＞陶芸を芸術に高めた人物・板谷波山を知ってもらいたい！,/projects/hazan,プロジェクト茨城,アート,FUNDED!,6,176000,終了13年11月15日"
"10年後の世界的アーティストを育てる英才教育,/projects/geikai-1,田中 拓馬,アート,FUNDED!,28,205000,終了13年11月15日"
"映画「藍色少年少女」プロジェクト　子供の子供による子供のための映画「藍色少年少女」を...,/projects/aiiro,ありす,映画,FUNDED!,30,214000,終了13年12月21日"
"ファッションをもっと手軽に！　専門家がコーディネートまで行うファッションサイト！,/projects/smilecoordinate,スマイルコーデ...,ファッション,FUNDED!,2,2000,終了14年02月28日"
"若手イケメン俳優や人気モデルたちも、たくさん出演する映画「東京」～ここは、硝子の街～...,/projects/tokyo2014,ヒデ,映画,FUNDED!,13,125000,終了14年02月16日"
"「やまだライブ」を伝説の聖地「天保山BaysideJenny跡地」で実現させる会,/projects/yamadalive2014,山田 篤史,音楽,NOT FUNDED!"
"見えない写真展 「幸せをカタチに。」,/projects/colors-4u,Yukiya ...,写真,FUNDED!,45,171500,終了14年02月20日"
"「映画で社会を変える！街を動かす！」映画「Barrel」の制作と映画祭で街興し！,/projects/barrel,木村 龍童,映画,FUNDED!,9,60000,終了14年02月12日"
"震災からの復興ー相馬野馬追写真展,/projects/nomaoi,Yoshimi...,写真,FUNDED!,14,71000,終了13年12月01日"
"日本の「仁義」を世界へ伝える。今、やる。長編映画「ケンとカズ」を製作し国内外の映画祭に！,/projects/kenandkazu,Ken Kazu,映画,FUNDED!,14,90000,終了14年01月01日"
"映画「Japanesebeauty 」最高の仕上げにするためのポストプロダクションの...,/projects/japanese-beauty,cica,映画,FUNDED!,9,77000,終了13年12月17日"
"川越スカラ座存続の為、デジタル映写機導入プロジェクトにご支援ください！,/projects/k-scalaza,川越スカラ座,映画,FUNDED!,225,2465194,終了13年10月29日"
"芸能活動15周年を迎える相沢まき。初のリリースを支援お願いします！！,/projects/jpadgirls,j-Pad G...,音楽,FUNDED!,68,1122588,終了13年10月17日"
"みどり荘　ソーラーデスク開発＆電力見える化プロジェクト,/projects/midoriso01,みどり荘,テクノロジー,FUNDED!,96,750000,終了13年10月07日"
"もう一つの肩書きを持てる街「リトルトーキョー」を、一緒につくりましょう。,/projects/littletyo,リトルトーキョー,コミュニティ,FUNDED!,231,2219000,終了13年10月01日"
"映画「OYAKO」〜Present to the Future〜\r\n 泣く！笑う！！...,/projects/oyako-movie,映画「OYAK...,映画,FUNDED!,214,3314500,終了13年08月14日"
"漫画家 佐藤智美-女子刑務所で働く医師の活躍を描いた『ムショ医』続編を描きた～い!,/projects/mushoi2,tomomon,本,FUNDED!,84,903025,終了13年09月02日"
"土屋豊監督最新作「タリウム少女の毒殺日記」の配給宣伝費をサポートして下さい！,/projects/GFP_BUNNY,土屋 豊,映画,FUNDED!,128,2448500,終了13年03月17日"
"風営法問題を通して様々なミュージシャン達が、クラブ、ダンス、そして日本の音楽の未来に...,/projects/savetheclubnoon,佐伯慎亮,映画,FUNDED!,489,4034005,終了13年07月14日"
"「私の行きつけ！プロジェクト」　素敵に酔える銀座ストック,/projects/ginzastock,銀座ストック,フード,FUNDED!,60,882500,終了13年09月10日"
"インディーズ短編映画『HOMELESS』　～家出少女とホームレスが織りなす不思議な物語～,/projects/homeless,トリフ『HOM...,映画,FUNDED!,68,501500,終了13年10月12日"
"『海の芸術びらき』『浜の芸術祭』が湘南逗子から日本をアートで包み込む！,/projects/hamagei2013,hama ar...,アート,FUNDED!,3,22500,終了13年11月01日"
"瀬戸内ではなく、「瀬戸際」！「瀬戸際世界芸術祭」の開催実現にご支援ください！,/projects/setogiwa-artfest,「瀬戸際世界芸...,パフォーマンス,FUNDED!,16,79000,終了13年11月01日"
"愛媛ヌーヴェルバーグ2013にゲストを呼びたい！,/projects/cinemalunatic,山崎 はな,映画,FUNDED!,31,219000,終了13年10月12日"
"日本発・世界志向の短編映画をプロデュースする「JAPAN SHORTS」の上映支援のお願い,/projects/Japanshorts,JAPANSH...,映画,FUNDED!,12,149000,終了13年09月28日"
"海外の将棋ファンを増やしたい！　本格将棋ライトノベル「俺の棒銀と女王の穴熊」翻訳プロ...,/projects/orebou1,アライコウ,本,NOT FUNDED!"
"チベット現代ポップスの新風！「シャパレ」初来日コンサート実行プロジェクト,/projects/shapaley,ツェリン・ドルジェ,音楽,FUNDED!,42,362000,終了13年10月07日"
"10年後メディア・報道は生き残れるか？現役記者＆学生への直撃調査,/projects/iAsia-after10,iAsia(N...,ジャーナリズム,FUNDED!,3,14000,終了13年10月06日"
"和製マイケル・ムーア誕生なるか？監督・石田朝也 “原発・エネルギー問題”に鋭く斬りこ...,/projects/sentakunotoki,ムッシュウ石田,映画,FUNDED!,27,1758000,終了13年10月02日"
"街のぶどう畑を劇場に変える！秋の実りを畑で共有するコンサートを開きたい！,/projects/aif2013,ARTinFARM,音楽,FUNDED!,7,21500,終了13年10月03日"
"プロレスマスクの「職人の腕前」と「芸術性」に脚光を！「プロレスマスク博覧会」,/projects/mask,梅崎 征憲,アート,FUNDED!,14,115000,終了13年09月30日"
"d'UOMO ex machina 2014年欧州ツアーに向けた準備活動にご支援ください！,/projects/duomoexmachina092013,Takahir...,演劇・ダンス,FUNDED!,2,15000,終了13年09月25日"
"被災地から『ありがとう』コンサート　～そして今さらに絆を強く～,/projects/teamfuchu,大間　努,音楽,FUNDED!,27,154001,終了13年09月21日"
"「コンビ二情報声優ナビプラス!!」新キャラ追加プロジェクト,/projects/convinfo,小西 弦人,ゲーム,FUNDED!,8,66000,終了13年09月21日"
"体感型の移動式映画館CINEMA CARAVAN、サンセバスチャン国際映画祭参加の援...,/projects/cinemacaravan,CINEMA ...,映画,FUNDED!,9,80000,終了13年09月19日"
"世界中の学生をつないで平和を！　『映像で世界を変える！UFPFF国際平和映像祭2013』,/projects/ufpff,浅岡 亮太,映画,NOT FUNDED!"
"和歌山での新しい「エンターティメント」を提案する、Kisssh- Kissssssh...,/projects/kisssh-kissssssh,Kisssh-...,映画,FUNDED!,12,80000,終了13年09月13日"
"ひた演劇祭実行委員会の活動－第3回ひた演劇祭－,/projects/hitageki,けちゃ,演劇・ダンス,FUNDED!,1,1000,終了13年08月31日"
